,Difference,Weighted score
146,{'0x20100000000008'},{6.375}
147,{'0x4000800000010000'},{6.3906}
148,{'0x8800050620410'},{6.4}
149,{'0x8c98200000000'},{6.4094}
150,{'0x4000002020000088'},{6.4094}
151,{'0x8000002020410'},{6.4188}
152,{'0x62e800001004'},{6.4375}
153,{'0x9ed810000004'},{6.4406}
154,{'0x428300040000'},{6.4438}
155,{'0x50008b0702011061'},{6.4469}
156,{'0x510802100000058'},{6.4563}
157,{'0x410000101000070'},{6.4812}
158,{'0x205a02000000'},{6.4844}
159,{'0xa5ba00008800'},{6.4844}
160,{'0x20812080000000'},{6.4844}
161,{'0x100881cb00000400'},{6.5219}
162,{'0x40001cae02000000'},{6.5281}
163,{'0x802000100000000'},{6.5375}
164,{'0x2000200001'},{6.5625}
165,{'0x813000100000000'},{6.5688}
166,{'0x810000100000000'},{6.5812}
167,{'0x909638100000001'},{6.5812}
168,{'0x518000100000050'},{6.5844}
169,{'0x518000100000000'},{6.5906}
170,{'0xa8e80000000'},{6.625}
171,{'0x410b014100000000'},{6.6375}
172,{'0x12a000100000000'},{6.6531}
173,{'0x804000000089'},{6.6781}
174,{'0x410000100000050'},{6.7188}
175,{'0x438400000000'},{6.7281}
176,{'0x2039'},{6.7344}
177,{'0x70000a00000100'},{6.7469}
178,{'0x62000000000000'},{6.7469}
179,{'0xdc8c00000004'},{6.7531}
180,{'0x108000100000000'},{6.775}
181,{'0x10b090100000000'},{6.7812}
182,{'0x802000000008'},{6.7812}
183,{'0x81e600000000'},{6.7938}
184,{'0x909421400000000'},{6.7938}
185,{'0x394400000004'},{6.7938}
186,{'0xd3c000000000000'},{6.8344}
187,{'0x4908000000000000'},{6.8469}
188,{'0x540000000b'},{6.875}
189,{'0x10b000000000000'},{6.8875}
190,{'0x73ea00000000'},{6.8875}
191,{'0x902000000009'},{6.9062}
192,{'0x602000000000'},{6.9062}
193,{'0x1d4200000000'},{6.9094}
194,{'0x2009'},{6.9125}
195,{'0x4824000000000000'},{6.9406}
196,{'0x5c9d00000000'},{6.9469}
197,{'0xdce900000000'},{6.95}
198,{'0x84600000000'},{6.9531}
199,{'0x62c700000000'},{6.9531}
200,{'0xa86000000000'},{6.9562}
201,{'0x390400000000'},{6.9562}
202,{'0xe54c00000000'},{6.9625}
203,{'0x8b00000000'},{6.975}
204,{'0x32000000000000'},{6.9812}
205,{'0x2000000088'},{6.9938}
206,{'0xc00200000000'},{7.0062}
207,{'0x4000000009'},{7.0125}
208,{'0x14200000000'},{7.0156}
209,{'0x5b2b00000000'},{7.0656}
210,{'0x8d2400000000'},{7.0719}
211,{'0xd8cd00000000'},{7.0781}
212,{'0x802400000000'},{7.0781}
213,{'0xe54500000000'},{7.0781}
214,{'0x9c4800000000'},{7.0906}
215,{'0xc59d00000000'},{7.1031}
216,{'0x54d600000000'},{7.1094}
217,{'0x800000000000'},{7.1438}
218,{'0x909000400000000'},{7.1469}
219,{'0x890000000000'},{7.15}
220,{'0x77e100000000'},{7.1531}
221,{'0x748c00000000'},{7.1531}
222,{'0x482600000000'},{7.1719}
223,{'0xd28000000000000'},{7.175}
224,{'0x500000000b'},{7.1781}
225,{'0x1c9f00000000'},{7.1812}
226,{'0xdd8b00000000'},{7.1938}
227,{'0x2cc800000000'},{7.2}
228,{'0x880200000000'},{7.2031}
229,{'0x9c0e00000000'},{7.2125}
230,{'0x908000000000000'},{7.2281}
231,{'0x150000000000'},{7.2375}
232,{'0x10a000000000000'},{7.2406}
233,{'0x150800000000'},{7.2406}
234,{'0xb46000000000'},{7.2562}
235,{'0x9d0000000000'},{7.2688}
236,{'0x1d4c00000000'},{7.3062}
237,{'0x8c6c00000000'},{7.3125}
238,{'0x10700000000'},{7.3188}
239,{'0x3cf400000000'},{7.3469}
240,{'0x425400000000'},{7.3469}
241,{'0xd09000000000000'},{7.3656}
242,{'0x584600000000'},{7.3719}
243,{'0xdca600000000'},{7.3875}
244,{'0x1000000000000'},{7.4344}
245,{'0xbe6300000000'},{7.4438}
246,{'0x80400000000'},{7.475}
247,{'0xfcc900000000'},{7.475}
248,{'0x102400000000'},{7.4938}
249,{'0x800000000000000'},{7.5375}
250,{'0x909000000000000'},{7.55}
251,{'0x90000000001'},{7.5688}
